Concentrations in ppbv,,m/z 47.01204 [C1H3O2],m/z 59.04874 [C3H7O1],m/z 61.02806 [C2H5O2],m/z  127.075 [C7H11O2],m/z 137.1339 [C10H17],m/z  139.113 [C9H15O1],m/z 143.1063 [C8H15O2],m/z 155.1074 [C9H15O2],m/z 157.0866 [C8H13O3],m/z 171.1014 [C9H15O3],m/z 173.0805 [C8H13O4],m/z 187.0977 [C9H15O4],m/z 201.1118 [C10H17O4]
,,m/z 47.0118,m/z 59.04863,m/z 61.02766,m/z 127.0748,m/z 137.132,m/z 139.1119,m/z 143.1056  ,m/z 155.1068,m/z 157.086,m/z 171.1006,m/z 173.0808,m/z 187.0966,m/z 201.1119
time_string,time_number,C1H3O2,C3H7O1,C2H5O2,C7H11O2,C10H17,C9H15O1,C8H15O2,C9H15O2,C8H13O3,C9H15O3,C8H13O4,C9H15O4,C10H17O4
12/7/2023 10:36,45267.4414,0.199,0.21921,0.17331,0.0023904,0.0015909,0.039016,0.0017403,0.015005,0.00037211,0.0012331,1.10E-05,-0.00011121,-0.00099973
12/7/2023 10:36,45267.4414,0.23523,0.21473,0.18469,0.0051296,0.0021378,0.035552,-0.00089256,0.017627,0.0024989,0.0023083,6.00E-06,4.13E-06,0.00077416
12/7/2023 10:36,45267.4414,0.27735,0.21583,0.17527,0.010537,0.0028002,0.037227,0.0027451,0.017936,0.0025223,0.0019041,-0.00085409,-0.00037081,0.0010461
12/7/2023 10:36,45267.4414,0.23876,0.22833,0.15939,0.0053704,0.0032382,0.034162,-8.73E-05,0.021589,0.0025851,0.00053438,-3.32E-07,-0.00056229,0.00043171
12/7/2023 10:36,45267.4414,0.24991,0.21904,0.18672,0.0053574,0.0032319,0.035987,0.00051815,0.01613,0.0027078,0.0012176,-0.0006261,0.00058245,6.59E-05
12/7/2023 10:36,45267.4414,0.2272,0.2212,0.17916,0.0061008,0.005373,0.036688,0.0019985,0.01575,0.00076312,0.0017521,0.00017765,0.00022884,0.0014904
12/7/2023 10:36,45267.4414,0.25299,0.20086,0.18482,0.0045431,0.0014094,0.03723,0.0014205,0.016522,0.00015006,0.0020436,0.00017786,0.00050774,-0.001377
12/7/2023 10:36,45267.4414,0.21265,0.2397,0.20566,0.0023818,0.001246,0.030106,0.00080608,0.015627,0.00034713,0.0018719,0.00082778,9.82E-05,0.00095655
12/7/2023 10:36,45267.4414,0.2251,0.22006,0.15763,0.0039674,0.002702,0.036779,-0.00031339,0.018387,0.0019973,0.0014431,-0.00064554,0.00047821,0.000181
12/7/2023 10:36,45267.4414,0.2502,0.21007,0.16555,0.0038906,0.0039338,0.036549,0.0005603,0.018957,0.001172,0.0011227,-0.0010545,-0.00010238,0.00032582
12/7/2023 10:36,45267.4414,0.21092,0.21937,0.19255,0.009161,0.0010032,0.036294,0.0011079,0.019877,0.00090876,7.41E-05,-2.08E-05,0.00042996,-0.00025227
12/7/2023 10:36,45267.4414,0.24906,0.2094,0.17308,0.0066998,0.0024967,0.03708,0.00015355,0.01631,0.0030221,0.0011597,0.00061052,0.0007169,-0.0010802
12/7/2023 10:36,45267.4414,0.23795,0.20524,0.18508,0.0046062,0.0013274,0.035948,0.001565,0.019612,0.0020906,0.00047283,-0.00015657,0.00032269,0.00018685
12/7/2023 10:36,45267.4414,0.2145,0.20728,0.17233,0.004076,0.002701,0.035698,0.0011941,0.018561,0.0013409,0.00087461,0.00073802,0.00057299,-0.0012764
12/7/2023 10:37,45267.4414,0.22711,0.20098,0.17376,0.0027435,0.0036373,0.03522,-0.0010705,0.017487,0.0032203,0.0020117,0.00084163,9.09E-05,-0.00080477
12/7/2023 10:37,45267.4414,0.26484,0.20773,0.15943,0.0021251,0.0034935,0.032973,0.00022514,0.015713,-0.00011685,-0.00039947,0.00042445,2.75E-05,-0.0012729
12/7/2023 10:37,45267.4414,0.25505,0.22568,0.15412,0.0088115,0.0012235,0.030087,0.0020002,0.016364,0.0014635,-0.0012418,0.00069467,-0.00047772,-0.00091788
12/7/2023 10:37,45267.4414,0.1845,0.23073,0.189,0.0088921,0.0025604,0.04019,0.0016883,0.015855,0.00060228,-0.0006134,-7.49E-05,0.00048156,0.00050385
12/7/2023 10:37,45267.4414,0.23936,0.2155,0.16934,0.0026253,0.002375,0.028942,-0.00032905,0.017649,0.0013618,0.0025453,-0.00054542,-0.00025567,-0.0012768
12/7/2023 10:37,45267.4414,0.1985,0.20278,0.16066,0.0032991,0.0029084,0.03574,-0.0006197,0.016695,0.00064194,0.0008562,0.00030014,0.00036713,0.00061566
12/7/2023 10:37,45267.4414,0.18818,0.21941,0.16549,0.0071164,0.0030118,0.035776,-0.00045341,0.018393,0.0012776,0.0013263,0.00019636,0.0010377,-0.00071441
12/7/2023 10:37,45267.4414,0.2338,0.22245,0.16577,0.0042946,0.0013023,0.038162,-0.00027776,0.019764,0.00060449,-0.00045168,-0.00017025,0.0010298,0.0011052
